,id,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality
2453,2453,2.0,No,4.0,6.0,No,11.0,7.0,Extrovert
2454,2454,1.0,No,8.0,6.0,No,8.0,8.0,Extrovert
2455,2455,4.0,No,1.0,0.0,Yes,3.0,1.0,Introvert
2456,2456,9.0,No,2.0,0.0,Yes,3.0,1.0,Introvert
2457,2457,0.0,No,3.0,5.0,No,5.0,3.0,Extrovert
2458,2458,2.0,No,7.0,5.0,No,8.0,9.0,Extrovert
2459,2459,0.0,No,9.0,6.0,No,6.0,7.0,Extrovert
2460,2460,5.0,No,2.0,2.0,Yes,1.0,0.0,Introvert
2461,2461,0.0,No,4.0,5.0,No,11.0,5.0,Extrovert
2462,2462,11.0,Yes,1.0,2.0,No,1.0,3.0,Introvert
2463,2463,3.0,No,8.0,5.0,No,7.0,8.0,Extrovert
2464,2464,6.0,No,5.0,4.0,No,5.0,5.0,Extrovert
2465,2465,1.0,No,4.0,5.0,No,14.0,8.0,Extrovert
2466,2466,3.0,No,6.0,5.0,No,13.0,3.0,Extrovert
2467,2467,2.0,No,4.0,5.0,No,8.0,4.0,Extrovert
2468,2468,3.0,No,8.0,3.0,No,8.0,4.0,Extrovert
2469,2469,2.0,No,4.0,5.0,No,13.0,4.0,Extrovert
2470,2470,11.0,Yes,2.0,2.0,No,3.0,2.0,Introvert
2471,2471,8.0,No,3.0,0.0,Yes,6.0,1.0,Introvert
2472,2472,2.0,No,6.0,7.0,No,7.0,3.0,Extrovert
2473,2473,11.0,Yes,3.0,4.0,Yes,4.0,2.0,Extrovert
2474,2474,0.0,No,9.0,4.0,No,14.0,5.0,Extrovert
2475,2475,2.0,No,5.0,5.0,No,8.0,6.0,Extrovert
2476,2476,2.0,No,6.0,6.0,No,8.0,4.0,Extrovert
2477,2477,1.0,No,7.0,3.0,No,11.0,4.0,Extrovert
2478,2478,1.0,No,4.0,5.0,No,1.0,9.0,Extrovert
2479,2479,3.0,No,7.0,7.0,No,12.0,4.0,Extrovert
2480,2480,2.0,No,6.0,3.0,No,8.0,8.0,Extrovert
2481,2481,1.0,No,8.0,6.0,No,12.0,8.0,Extrovert
2482,2482,7.0,Yes,3.0,1.0,Yes,2.0,5.0,Introvert
2483,2483,0.0,No,5.0,7.0,No,4.0,5.0,Extrovert
2484,2484,4.0,No,9.0,4.0,No,10.0,7.0,Extrovert
2485,2485,0.0,No,6.0,5.0,No,14.0,6.0,Extrovert
2486,2486,11.0,Yes,0.0,2.0,No,5.0,2.0,Introvert
2487,2487,1.0,No,6.0,3.0,No,10.0,9.0,Extrovert
2488,2488,1.0,No,4.0,7.0,No,8.0,5.0,Extrovert
2489,2489,3.0,No,5.0,4.0,No,9.0,7.0,Extrovert
2490,2490,2.0,No,4.0,6.0,No,14.0,7.0,Extrovert
2491,2491,0.0,No,4.0,4.0,No,8.0,5.0,Extrovert
2492,2492,4.0,No,6.0,3.0,No,10.0,9.0,Extrovert
2493,2493,3.0,No,9.0,4.0,No,5.0,3.0,Extrovert
2494,2494,3.0,No,4.0,4.0,No,8.0,10.0,Extrovert
2495,2495,1.0,No,5.0,4.0,No,5.0,5.0,Extrovert
2496,2496,0.0,No,5.0,6.0,No,9.0,3.0,Extrovert
2497,2497,3.0,No,5.0,4.0,No,11.0,4.0,Extrovert
2498,2498,2.0,No,6.0,4.0,No,12.0,9.0,Extrovert
2499,2499,4.0,No,10.0,5.0,No,7.0,5.0,Extrovert
2500,2500,0.0,No,5.0,7.0,No,11.0,5.0,Extrovert
2501,2501,3.0,No,4.0,3.0,No,12.0,8.0,Extrovert
2502,2502,3.0,No,5.0,5.0,No,12.0,4.0,Extrovert
2503,2503,1.0,No,8.0,4.0,No,12.0,6.0,Extrovert
2504,2504,0.0,No,6.0,7.0,No,12.0,10.0,Extrovert
2505,2505,0.0,No,4.0,4.0,No,7.0,9.0,Extrovert
2506,2506,4.0,Yes,0.0,0.0,No,2.0,1.0,Introvert
2507,2507,2.0,No,8.0,3.0,No,6.0,3.0,Extrovert
2508,2508,0.0,No,4.0,6.0,No,9.0,3.0,Extrovert
2509,2509,4.0,No,9.0,6.0,No,7.0,4.0,Extrovert
2510,2510,5.0,Yes,2.0,0.0,Yes,3.0,5.0,Introvert
2511,2511,10.0,Yes,0.0,1.0,Yes,3.0,2.0,Introvert
2512,2512,1.0,No,5.0,6.0,No,9.0,3.0,Extrovert
2513,2513,3.0,No,9.0,7.0,No,5.0,4.0,Extrovert
2514,2514,11.0,Yes,1.0,0.0,Yes,5.0,1.0,Introvert
2515,2515,0.0,No,8.0,3.0,No,10.0,4.0,Extrovert
2516,2516,0.0,No,6.0,7.0,No,11.0,8.0,Extrovert
2517,2517,2.0,No,9.0,6.0,No,11.0,4.0,Extrovert
2518,2518,0.0,No,8.0,5.0,No,13.0,6.0,Extrovert
2519,2519,9.0,Yes,2.0,4.0,Yes,1.0,2.0,Introvert
2520,2520,3.0,No,9.0,4.0,No,13.0,7.0,Extrovert
2521,2521,8.0,Yes,0.0,3.0,Yes,4.0,3.0,Introvert
2522,2522,8.0,Yes,0.0,4.0,Yes,2.0,0.0,Introvert
2523,2523,1.0,No,7.0,5.0,No,13.0,5.0,Extrovert
2524,2524,9.0,No,0.0,1.0,Yes,2.0,2.0,Introvert
2525,2525,1.0,No,3.0,5.0,No,10.0,3.0,Extrovert
2526,2526,1.0,No,5.0,5.0,No,10.0,7.0,Introvert
2527,2527,2.0,No,7.0,7.0,No,12.0,6.0,Extrovert
2528,2528,0.0,No,5.0,4.0,No,11.0,9.0,Extrovert
2529,2529,4.0,No,5.0,6.0,No,10.0,4.0,Extrovert
2530,2530,8.0,Yes,2.0,4.0,Yes,1.0,2.0,Introvert
2531,2531,3.0,No,6.0,3.0,No,14.0,3.0,Extrovert
2532,2532,6.0,Yes,1.0,0.0,No,3.0,2.0,Introvert
2533,2533,2.0,No,4.0,5.0,No,11.0,4.0,Extrovert
2534,2534,3.0,No,6.0,5.0,No,9.0,7.0,Extrovert
2535,2535,1.0,No,8.0,3.0,No,6.0,8.0,Extrovert
2536,2536,2.0,No,9.0,7.0,No,7.0,4.0,Extrovert
2537,2537,11.0,Yes,0.0,3.0,Yes,1.0,5.0,Introvert
2538,2538,2.0,No,8.0,3.0,No,10.0,9.0,Extrovert
2539,2539,3.0,No,4.0,3.0,No,5.0,6.0,Extrovert
2540,2540,3.0,No,5.0,7.0,No,5.0,4.0,Extrovert
2541,2541,1.0,No,7.0,4.0,No,12.0,5.0,Extrovert
2542,2542,2.0,No,3.0,3.0,No,5.0,8.0,Extrovert
2543,2543,5.0,No,9.0,7.0,No,7.0,3.0,Extrovert
2544,2544,1.0,No,5.0,5.0,No,6.0,7.0,Extrovert
2545,2545,0.0,No,7.0,5.0,No,7.0,5.0,Extrovert
2546,2546,4.0,No,3.0,5.0,No,1.0,5.0,Introvert
2547,2547,9.0,Yes,5.0,1.0,Yes,2.0,0.0,Introvert
2548,2548,2.0,No,8.0,6.0,No,14.0,7.0,Extrovert
2549,2549,2.0,No,5.0,4.0,No,9.0,4.0,Extrovert
2550,2550,1.0,No,3.0,4.0,No,7.0,3.0,Extrovert
2551,2551,8.0,Yes,3.0,4.0,Yes,3.0,1.0,Introvert
2552,2552,11.0,Yes,3.0,0.0,Yes,8.0,0.0,Introvert
2553,2553,9.0,No,2.0,3.0,Yes,3.0,1.0,Extrovert
2554,2554,2.0,No,4.0,6.0,No,9.0,8.0,Extrovert
2555,2555,1.0,No,7.0,6.0,No,12.0,9.0,Extrovert
2556,2556,3.0,No,9.0,6.0,No,13.0,7.0,Extrovert
2557,2557,7.0,Yes,2.0,0.0,No,1.0,2.0,Introvert
2558,2558,1.0,No,4.0,4.0,No,4.0,6.0,Extrovert
2559,2559,6.0,Yes,1.0,4.0,Yes,0.0,1.0,Introvert
2560,2560,5.0,Yes,2.0,3.0,Yes,3.0,0.0,Introvert
2561,2561,0.0,No,5.0,4.0,No,8.0,8.0,Extrovert
2562,2562,2.0,No,5.0,7.0,No,11.0,9.0,Extrovert
2563,2563,4.0,No,3.0,2.0,Yes,1.0,1.0,Introvert
2564,2564,2.0,No,7.0,6.0,No,11.0,5.0,Extrovert
2565,2565,1.0,No,4.0,6.0,No,7.0,8.0,Extrovert
2566,2566,11.0,Yes,0.0,2.0,Yes,5.0,3.0,Introvert
2567,2567,1.0,No,4.0,6.0,No,9.0,6.0,Extrovert
2568,2568,2.0,No,6.0,6.0,No,14.0,7.0,Extrovert
2569,2569,2.0,No,7.0,3.0,No,8.0,5.0,Extrovert
2570,2570,0.0,No,5.0,5.0,No,8.0,5.0,Extrovert
2571,2571,3.0,No,5.0,6.0,No,8.0,9.0,Extrovert
2572,2572,1.0,No,6.0,5.0,No,8.0,10.0,Extrovert
2573,2573,7.0,Yes,0.0,2.0,Yes,5.0,5.0,Introvert
2574,2574,3.0,No,4.0,4.0,No,5.0,5.0,Extrovert
2575,2575,8.0,Yes,2.0,0.0,No,4.0,5.0,Introvert
2576,2576,0.0,No,8.0,4.0,No,9.0,6.0,Extrovert
2577,2577,2.0,No,6.0,7.0,No,9.0,8.0,Extrovert
2578,2578,0.0,No,3.0,4.0,No,15.0,6.0,Extrovert
2579,2579,1.0,No,9.0,5.0,No,9.0,4.0,Extrovert
2580,2580,4.0,No,7.0,6.0,No,15.0,7.0,Extrovert
2581,2581,1.0,No,8.0,6.0,No,5.0,3.0,Extrovert
2582,2582,2.0,No,4.0,3.0,No,13.0,3.0,Extrovert
2583,2583,6.0,Yes,1.0,1.0,Yes,4.0,3.0,Introvert
2584,2584,11.0,Yes,4.0,0.0,Yes,2.0,0.0,Introvert
2585,2585,1.0,No,6.0,6.0,No,6.0,10.0,Extrovert
2586,2586,2.0,No,5.0,5.0,No,12.0,6.0,Extrovert
2587,2587,3.0,No,8.0,4.0,No,8.0,6.0,Extrovert
2588,2588,3.0,No,7.0,4.0,No,12.0,10.0,Extrovert
2589,2589,2.0,No,6.0,3.0,No,4.0,5.0,Extrovert
2590,2590,2.0,No,4.0,3.0,No,13.0,9.0,Extrovert
2591,2591,1.0,No,8.0,6.0,No,5.0,9.0,Extrovert
2592,2592,1.0,No,5.0,6.0,No,10.0,9.0,Extrovert
2593,2593,0.0,No,7.0,4.0,No,7.0,9.0,Extrovert
2594,2594,1.0,No,8.0,6.0,No,15.0,6.0,Extrovert
2595,2595,2.0,No,9.0,5.0,No,14.0,3.0,Extrovert
2596,2596,0.0,No,7.0,6.0,No,6.0,6.0,Extrovert
2597,2597,6.0,Yes,2.0,1.0,No,4.0,2.0,Introvert
2598,2598,1.0,No,4.0,4.0,No,5.0,7.0,Extrovert
2599,2599,5.0,Yes,2.0,4.0,Yes,5.0,2.0,Introvert
2600,2600,3.0,No,6.0,4.0,No,10.0,5.0,Extrovert
2601,2601,3.0,No,7.0,4.0,No,15.0,7.0,Extrovert
2602,2602,3.0,No,7.0,6.0,No,14.0,7.0,Extrovert
2603,2603,1.0,No,4.0,4.0,No,12.0,4.0,Extrovert
2604,2604,4.0,No,0.0,2.0,Yes,1.0,1.0,Introvert
2605,2605,3.0,No,6.0,5.0,No,14.0,5.0,Extrovert
2606,2606,2.0,No,9.0,4.0,No,8.0,5.0,Extrovert
2607,2607,0.0,No,7.0,3.0,No,11.0,9.0,Extrovert
2608,2608,1.0,No,8.0,3.0,No,13.0,4.0,Extrovert
2609,2609,2.0,No,6.0,4.0,No,12.0,4.0,Extrovert
2610,2610,3.0,No,6.0,3.0,No,9.0,8.0,Extrovert
2611,2611,0.0,No,7.0,4.0,No,4.0,9.0,Extrovert
2612,2612,2.0,No,9.0,5.0,No,6.0,6.0,Extrovert
2613,2613,9.0,Yes,2.0,2.0,Yes,2.0,3.0,Extrovert
2614,2614,1.0,No,9.0,7.0,No,6.0,4.0,Extrovert
2615,2615,2.0,No,6.0,6.0,No,7.0,9.0,Extrovert
2616,2616,4.0,No,5.0,3.0,No,15.0,8.0,Extrovert
2617,2617,2.0,No,6.0,4.0,No,7.0,9.0,Extrovert
2618,2618,0.0,No,3.0,4.0,No,13.0,7.0,Extrovert
2619,2619,1.0,No,7.0,6.0,No,15.0,8.0,Extrovert
2620,2620,1.0,No,8.0,6.0,No,14.0,3.0,Extrovert
2621,2621,9.0,Yes,1.0,3.0,Yes,1.0,2.0,Introvert
2622,2622,3.0,No,4.0,3.0,No,8.0,6.0,Extrovert
2623,2623,0.0,No,6.0,6.0,No,13.0,4.0,Extrovert
2624,2624,0.0,No,4.0,4.0,No,9.0,10.0,Extrovert
2625,2625,0.0,No,5.0,7.0,No,8.0,10.0,Extrovert
2626,2626,8.0,No,0.0,2.0,Yes,5.0,0.0,Introvert
2627,2627,2.0,No,8.0,6.0,No,8.0,6.0,Extrovert
2628,2628,2.0,No,6.0,5.0,No,14.0,6.0,Extrovert
2629,2629,3.0,No,7.0,4.0,No,13.0,4.0,Extrovert
2630,2630,1.0,No,5.0,6.0,No,10.0,5.0,Extrovert
2631,2631,3.0,No,8.0,7.0,No,8.0,8.0,Extrovert
2632,2632,2.0,No,5.0,4.0,No,10.0,8.0,Extrovert
2633,2633,9.0,Yes,3.0,2.0,Yes,5.0,5.0,Introvert
2634,2634,8.0,Yes,3.0,2.0,Yes,5.0,5.0,Introvert
2635,2635,0.0,No,9.0,4.0,No,8.0,7.0,Extrovert
2636,2636,9.0,Yes,1.0,1.0,Yes,1.0,5.0,Introvert
2637,2637,1.0,No,5.0,4.0,No,6.0,5.0,Extrovert
2638,2638,3.0,No,5.0,5.0,No,12.0,8.0,Extrovert
2639,2639,2.0,No,5.0,5.0,No,9.0,8.0,Extrovert
2640,2640,4.0,No,9.0,5.0,No,8.0,9.0,Extrovert
2641,2641,4.0,No,5.0,4.0,No,6.0,4.0,Extrovert
2642,2642,1.0,No,4.0,5.0,No,4.0,9.0,Extrovert
2643,2643,7.0,Yes,0.0,1.0,Yes,5.0,1.0,Introvert
2644,2644,1.0,No,6.0,7.0,No,12.0,4.0,Extrovert
2645,2645,2.0,No,8.0,4.0,No,10.0,6.0,Extrovert
2646,2646,2.0,No,7.0,4.0,No,14.0,8.0,Extrovert
2647,2647,6.0,No,3.0,2.0,Yes,4.0,2.0,Introvert
2648,2648,3.0,No,5.0,6.0,No,12.0,4.0,Extrovert
2649,2649,1.0,No,4.0,5.0,No,8.0,3.0,Extrovert
2650,2650,3.0,No,5.0,5.0,No,13.0,4.0,Extrovert
2651,2651,2.0,Yes,3.0,3.0,No,4.0,2.0,Introvert
2652,2652,3.0,No,9.0,6.0,No,11.0,3.0,Extrovert
2653,2653,2.0,No,9.0,6.0,No,9.0,8.0,Introvert
2654,2654,2.0,No,5.0,4.0,No,6.0,7.0,Extrovert
2655,2655,3.0,No,7.0,4.0,No,12.0,4.0,Extrovert
2656,2656,1.0,No,5.0,6.0,No,13.0,4.0,Extrovert
2657,2657,3.0,No,7.0,6.0,No,14.0,3.0,Extrovert
2658,2658,5.0,Yes,1.0,2.0,Yes,5.0,3.0,Introvert
2659,2659,3.0,No,6.0,6.0,No,14.0,5.0,Extrovert
2660,2660,0.0,No,5.0,4.0,No,15.0,3.0,Extrovert
2661,2661,9.0,No,2.0,2.0,Yes,2.0,1.0,Introvert
2662,2662,3.0,No,6.0,4.0,No,6.0,5.0,Extrovert
2663,2663,2.0,No,9.0,4.0,No,7.0,10.0,Extrovert
2664,2664,2.0,No,6.0,5.0,No,4.0,8.0,Extrovert
2665,2665,3.0,No,9.0,4.0,No,5.0,5.0,Extrovert
2666,2666,4.0,No,6.0,7.0,No,15.0,9.0,Extrovert
2667,2667,0.0,No,7.0,4.0,No,9.0,7.0,Extrovert
2668,2668,1.0,No,10.0,6.0,No,5.0,6.0,Extrovert
2669,2669,7.0,Yes,2.0,2.0,Yes,2.0,5.0,Introvert
2670,2670,2.0,No,6.0,4.0,No,10.0,5.0,Extrovert
2671,2671,1.0,No,6.0,3.0,No,7.0,8.0,Extrovert
2672,2672,4.0,Yes,0.0,1.0,Yes,8.0,0.0,Introvert
2673,2673,7.0,Yes,0.0,2.0,Yes,4.0,1.0,Introvert
2674,2674,7.0,Yes,1.0,2.0,Yes,0.0,0.0,Introvert
2675,2675,6.0,Yes,9.0,1.0,Yes,1.0,2.0,Extrovert
2676,2676,4.0,No,8.0,3.0,No,9.0,5.0,Extrovert
2677,2677,0.0,No,10.0,6.0,No,12.0,9.0,Extrovert
2678,2678,2.0,No,8.0,7.0,No,13.0,5.0,Extrovert
2679,2679,2.0,No,8.0,5.0,No,14.0,7.0,Extrovert
2680,2680,3.0,No,9.0,4.0,No,12.0,4.0,Extrovert
2681,2681,2.0,No,4.0,6.0,No,4.0,5.0,Extrovert
2682,2682,3.0,Yes,1.0,1.0,Yes,1.0,2.0,Introvert
2683,2683,11.0,Yes,2.0,4.0,Yes,1.0,1.0,Introvert
2684,2684,0.0,No,4.0,4.0,No,11.0,5.0,Extrovert
2685,2685,4.0,Yes,3.0,4.0,Yes,2.0,1.0,Introvert
2686,2686,0.0,No,8.0,7.0,No,14.0,4.0,Extrovert
2687,2687,1.0,No,6.0,4.0,No,6.0,10.0,Extrovert
2688,2688,2.0,No,9.0,7.0,No,13.0,3.0,Extrovert
2689,2689,0.0,No,8.0,6.0,No,9.0,7.0,Extrovert
2690,2690,0.0,No,7.0,3.0,No,14.0,9.0,Extrovert
2691,2691,3.0,No,9.0,7.0,No,8.0,3.0,Extrovert
2692,2692,7.0,Yes,3.0,1.0,Yes,8.0,0.0,Introvert
2693,2693,2.0,No,7.0,3.0,No,9.0,9.0,Extrovert
2694,2694,2.0,No,4.0,7.0,No,4.0,6.0,Introvert
2695,2695,11.0,Yes,1.0,1.0,Yes,3.0,0.0,Introvert
2696,2696,1.0,No,9.0,7.0,No,10.0,7.0,Extrovert
2697,2697,0.0,No,3.0,6.0,No,7.0,7.0,Extrovert
2698,2698,2.0,No,6.0,6.0,No,13.0,5.0,Extrovert
2699,2699,2.0,No,5.0,6.0,No,6.0,3.0,Extrovert
2700,2700,4.0,Yes,2.0,4.0,Yes,1.0,2.0,Introvert
2701,2701,2.0,No,10.0,4.0,No,12.0,6.0,Extrovert
2702,2702,2.0,No,8.0,6.0,No,7.0,3.0,Extrovert
2703,2703,3.0,No,5.0,4.0,No,8.0,4.0,Extrovert
2704,2704,0.0,No,4.0,7.0,No,15.0,4.0,Extrovert
2705,2705,2.0,No,3.0,4.0,No,8.0,9.0,Extrovert
2706,2706,6.0,Yes,3.0,0.0,Yes,6.0,1.0,Introvert
2707,2707,2.0,No,6.0,7.0,No,7.0,9.0,Extrovert
2708,2708,2.0,No,9.0,6.0,No,13.0,4.0,Extrovert
2709,2709,0.0,No,5.0,5.0,No,9.0,5.0,Extrovert
2710,2710,3.0,No,9.0,7.0,No,12.0,5.0,Extrovert
2711,2711,2.0,No,9.0,4.0,No,10.0,8.0,Extrovert
2712,2712,4.0,Yes,4.0,2.0,Yes,5.0,2.0,Extrovert
2713,2713,3.0,No,9.0,4.0,No,12.0,7.0,Extrovert
2714,2714,0.0,No,7.0,3.0,No,9.0,9.0,Extrovert
2715,2715,0.0,No,5.0,6.0,No,12.0,9.0,Extrovert
2716,2716,4.0,Yes,5.0,0.0,Yes,4.0,0.0,Introvert
2717,2717,3.0,No,5.0,4.0,No,15.0,5.0,Extrovert
2718,2718,3.0,No,8.0,4.0,No,15.0,9.0,Extrovert
2719,2719,3.0,No,4.0,4.0,No,4.0,6.0,Extrovert
2720,2720,2.0,No,7.0,4.0,No,13.0,9.0,Extrovert
2721,2721,3.0,No,9.0,6.0,No,11.0,10.0,Extrovert
2722,2722,3.0,No,7.0,7.0,No,5.0,5.0,Extrovert
2723,2723,2.0,No,9.0,7.0,No,6.0,8.0,Extrovert
2724,2724,1.0,No,5.0,5.0,No,5.0,5.0,Extrovert
2725,2725,1.0,No,4.0,4.0,No,14.0,10.0,Extrovert
2726,2726,3.0,No,5.0,5.0,No,8.0,5.0,Extrovert
2727,2727,3.0,No,9.0,4.0,No,11.0,5.0,Extrovert
2728,2728,1.0,No,8.0,5.0,No,8.0,3.0,Extrovert
2729,2729,2.0,No,5.0,5.0,No,9.0,7.0,Extrovert
2730,2730,3.0,No,5.0,5.0,No,11.0,3.0,Extrovert
2731,2731,6.0,Yes,0.0,0.0,Yes,1.0,5.0,Introvert
2732,2732,0.0,No,4.0,4.0,No,10.0,5.0,Extrovert
2733,2733,0.0,No,7.0,5.0,No,6.0,10.0,Extrovert
2734,2734,9.0,Yes,3.0,1.0,Yes,4.0,0.0,Introvert
2735,2735,0.0,No,3.0,4.0,No,9.0,8.0,Extrovert
2736,2736,2.0,No,9.0,4.0,No,14.0,10.0,Extrovert
2737,2737,4.0,No,4.0,6.0,No,10.0,4.0,Extrovert
2738,2738,0.0,No,9.0,5.0,No,8.0,9.0,Extrovert
2739,2739,2.0,No,5.0,3.0,No,10.0,4.0,Extrovert
2740,2740,0.0,No,9.0,5.0,No,6.0,4.0,Extrovert
2741,2741,1.0,No,9.0,3.0,No,14.0,5.0,Extrovert
2742,2742,6.0,Yes,1.0,3.0,Yes,4.0,2.0,Introvert
2743,2743,2.0,No,7.0,3.0,No,7.0,9.0,Extrovert
2744,2744,1.0,No,9.0,4.0,No,13.0,5.0,Extrovert
2745,2745,3.0,No,9.0,3.0,No,12.0,4.0,Extrovert
2746,2746,9.0,No,1.0,3.0,Yes,2.0,3.0,Introvert
2747,2747,3.0,No,8.0,3.0,No,8.0,3.0,Extrovert
2748,2748,3.0,No,6.0,6.0,No,13.0,5.0,Extrovert
2749,2749,5.0,No,0.0,1.0,Yes,4.0,1.0,Introvert
2750,2750,0.0,No,6.0,7.0,No,13.0,3.0,Extrovert
2751,2751,10.0,Yes,1.0,0.0,Yes,2.0,0.0,Extrovert
2752,2752,9.0,Yes,1.0,4.0,Yes,1.0,1.0,Introvert
2753,2753,2.0,No,9.0,5.0,No,7.0,5.0,Extrovert
2754,2754,3.0,No,3.0,3.0,No,14.0,9.0,Extrovert
2755,2755,3.0,No,5.0,6.0,No,4.0,4.0,Extrovert
2756,2756,1.0,No,5.0,5.0,No,5.0,9.0,Extrovert
2757,2757,2.0,No,9.0,4.0,No,11.0,6.0,Extrovert
2758,2758,9.0,Yes,1.0,0.0,Yes,3.0,5.0,Introvert
2759,2759,3.0,No,8.0,6.0,No,7.0,6.0,Extrovert
2760,2760,9.0,Yes,1.0,3.0,Yes,3.0,2.0,Introvert
2761,2761,3.0,No,9.0,6.0,No,8.0,9.0,Extrovert
2762,2762,0.0,No,5.0,7.0,No,13.0,5.0,Extrovert
2763,2763,8.0,Yes,1.0,2.0,Yes,0.0,1.0,Introvert
2764,2764,8.0,Yes,3.0,2.0,Yes,0.0,3.0,Introvert
2765,2765,2.0,No,5.0,7.0,No,10.0,4.0,Extrovert
2766,2766,2.0,No,5.0,7.0,No,10.0,4.0,Extrovert
2767,2767,0.0,No,5.0,4.0,No,9.0,6.0,Extrovert
2768,2768,1.0,No,5.0,7.0,No,8.0,7.0,Extrovert
2769,2769,11.0,Yes,2.0,2.0,Yes,4.0,5.0,Introvert
2770,2770,8.0,Yes,5.0,2.0,Yes,1.0,1.0,Introvert
2771,2771,3.0,No,7.0,7.0,No,10.0,5.0,Extrovert
2772,2772,3.0,No,9.0,4.0,No,10.0,7.0,Extrovert
2773,2773,4.0,Yes,0.0,2.0,Yes,4.0,5.0,Extrovert
2774,2774,0.0,No,8.0,4.0,No,14.0,7.0,Extrovert
2775,2775,2.0,No,8.0,3.0,No,7.0,8.0,Extrovert
2776,2776,0.0,No,9.0,7.0,No,8.0,7.0,Extrovert
2777,2777,1.0,No,7.0,4.0,No,5.0,9.0,Extrovert
2778,2778,8.0,Yes,4.0,2.0,Yes,3.0,2.0,Introvert
2779,2779,2.0,No,6.0,5.0,No,11.0,9.0,Extrovert
2780,2780,3.0,No,5.0,4.0,No,10.0,10.0,Extrovert
2781,2781,0.0,No,2.0,5.0,No,5.0,3.0,Extrovert
2782,2782,0.0,No,4.0,3.0,No,8.0,5.0,Extrovert
2783,2783,0.0,No,4.0,5.0,No,6.0,9.0,Extrovert
2784,2784,5.0,Yes,0.0,1.0,No,5.0,2.0,Introvert
2785,2785,1.0,No,5.0,4.0,No,8.0,4.0,Extrovert
2786,2786,3.0,No,4.0,4.0,No,8.0,9.0,Extrovert
2787,2787,6.0,Yes,2.0,2.0,Yes,6.0,1.0,Introvert
2788,2788,2.0,No,4.0,4.0,No,9.0,9.0,Extrovert
2789,2789,2.0,No,7.0,6.0,No,14.0,4.0,Extrovert
2790,2790,3.0,No,4.0,6.0,No,11.0,4.0,Extrovert
2791,2791,0.0,No,7.0,7.0,No,13.0,10.0,Extrovert
2792,2792,1.0,No,4.0,6.0,No,13.0,3.0,Extrovert
2793,2793,3.0,No,6.0,3.0,No,14.0,8.0,Extrovert
2794,2794,2.0,No,6.0,5.0,No,12.0,5.0,Extrovert
2795,2795,6.0,No,1.0,1.0,Yes,2.0,2.0,Introvert
2796,2796,0.0,No,8.0,4.0,No,4.0,5.0,Extrovert
2797,2797,0.0,No,8.0,3.0,No,13.0,7.0,Extrovert
2798,2798,8.0,Yes,3.0,1.0,Yes,2.0,1.0,Introvert
2799,2799,2.0,No,8.0,3.0,No,15.0,4.0,Extrovert
2800,2800,1.0,No,9.0,5.0,No,12.0,4.0,Extrovert
2801,2801,10.0,Yes,3.0,0.0,No,5.0,2.0,Introvert
2802,2802,1.0,No,8.0,6.0,No,15.0,9.0,Extrovert
2803,2803,0.0,No,7.0,4.0,No,8.0,9.0,Extrovert
2804,2804,1.0,No,4.0,4.0,No,12.0,5.0,Extrovert
2805,2805,3.0,No,7.0,4.0,No,8.0,9.0,Extrovert
2806,2806,3.0,No,5.0,3.0,No,5.0,4.0,Extrovert
2807,2807,1.0,No,9.0,6.0,No,9.0,9.0,Extrovert
2808,2808,10.0,Yes,1.0,3.0,Yes,8.0,1.0,Introvert
2809,2809,0.0,No,9.0,2.0,No,5.0,2.0,Extrovert
2810,2810,3.0,No,7.0,4.0,No,7.0,8.0,Extrovert
2811,2811,2.0,No,8.0,6.0,No,10.0,5.0,Extrovert
2812,2812,1.0,No,5.0,3.0,No,12.0,3.0,Extrovert
2813,2813,9.0,Yes,1.0,0.0,Yes,5.0,5.0,Introvert
2814,2814,3.0,No,5.0,7.0,No,11.0,3.0,Extrovert
2815,2815,0.0,No,7.0,6.0,No,7.0,6.0,Extrovert
2816,2816,0.0,No,5.0,3.0,No,8.0,3.0,Extrovert
2817,2817,1.0,No,9.0,6.0,No,8.0,4.0,Extrovert
2818,2818,8.0,Yes,2.0,2.0,Yes,3.0,3.0,Introvert
2819,2819,0.0,No,3.0,4.0,No,7.0,3.0,Extrovert
2820,2820,1.0,No,5.0,5.0,No,4.0,9.0,Extrovert
2821,2821,0.0,No,5.0,4.0,No,5.0,9.0,Extrovert
2822,2822,1.0,No,9.0,4.0,No,9.0,3.0,Extrovert
2823,2823,0.0,No,3.0,3.0,No,15.0,8.0,Extrovert
2824,2824,3.0,No,5.0,3.0,No,8.0,8.0,Extrovert
2825,2825,0.0,No,7.0,6.0,No,14.0,9.0,Extrovert
2826,2826,2.0,No,4.0,4.0,No,14.0,5.0,Extrovert
2827,2827,1.0,No,8.0,6.0,No,10.0,5.0,Extrovert
2828,2828,0.0,No,7.0,6.0,No,15.0,8.0,Extrovert
2829,2829,11.0,Yes,1.0,1.0,Yes,5.0,5.0,Introvert
2830,2830,0.0,No,5.0,4.0,No,14.0,4.0,Extrovert
2831,2831,3.0,No,7.0,7.0,No,9.0,3.0,Extrovert
2832,2832,3.0,No,6.0,6.0,No,8.0,8.0,Extrovert
2833,2833,3.0,No,7.0,6.0,No,13.0,6.0,Extrovert
